field_dates,end_date,sample_size,population,pollster,pct_a,pct_b,margin_a,label_a,label_b,topline_source,metadata_source,notes
Apr 11 – 14,2025-04-14,2203,RV,Morning Consult,52.0,45.0,7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 12 – 13,2025-04-13,2009,RV,Harris Poll / Harvard CAPS,51.0,45.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 4 – 8,2025-04-08,1500,ADULTS,Ipsos / Reuters,50.0,44.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 4 – 7,2025-04-07,2201,RV,Morning Consult,52.0,45.0,7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 2 – 7,2025-04-07,1205,ADULTS,SSRS / CNN,49.0,49.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 28 – Apr 1,2025-04-01,1500,ADULTS,Ipsos / Reuters,50.0,44.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 28 – 31,2025-03-31,2198,RV,Morning Consult,52.0,45.0,7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 29 – 30,2025-03-30,2009,RV,Harris Poll / Harvard CAPS,52.0,44.0,8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 21 – 25,2025-03-25,1500,ADULTS,Ipsos / Reuters,50.0,44.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 21 – 24,2025-03-24,2205,RV,Morning Consult,52.0,45.0,7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 19 – 24,2025-03-24,1203,ADULTS,SSRS / CNN,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 14 – 18,2025-03-18,1500,ADULTS,Ipsos / Reuters,50.0,44.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 14 – 17,2025-03-17,2203,RV,Morning Consult,52.0,45.0,7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 15 – 16,2025-03-16,2009,RV,Harris Poll / Harvard CAPS,52.0,44.0,8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 7 – 11,2025-03-11,1500,ADULTS,Ipsos / Reuters,51.0,43.0,8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 7 – 10,2025-03-10,2201,RV,Morning Consult,53.0,44.0,9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 5 – 10,2025-03-10,1201,ADULTS,SSRS / CNN,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 1 – 2,2025-03-02,2009,RV,Harris Poll / Harvard CAPS,53.0,43.0,10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 28 – Mar 4,2025-03-04,1500,ADULTS,Ipsos / Reuters,51.0,43.0,8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 28 – Mar 3,2025-03-03,2198,RV,Morning Consult,53.0,44.0,9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 21 – 25,2025-02-25,1500,ADULTS,Ipsos / Reuters,51.0,43.0,8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 21 – 24,2025-02-24,2205,RV,Morning Consult,53.0,44.0,9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 19 – 24,2025-02-24,1205,ADULTS,SSRS / CNN,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 15 – 16,2025-02-16,2009,RV,Harris Poll / Harvard CAPS,53.0,43.0,10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 14 – 18,2025-02-18,1500,ADULTS,Ipsos / Reuters,52.0,42.0,10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 14 – 17,2025-02-17,2203,RV,Morning Consult,54.0,43.0,11.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 7 – 11,2025-02-11,1500,ADULTS,Ipsos / Reuters,52.0,42.0,10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 7 – 10,2025-02-10,2201,RV,Morning Consult,54.0,43.0,11.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 5 – 10,2025-02-10,1203,ADULTS,SSRS / CNN,51.0,47.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 1 – 2,2025-02-02,2009,RV,Harris Poll / Harvard CAPS,54.0,42.0,12.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 31 – Feb 4,2025-02-04,1500,ADULTS,Ipsos / Reuters,53.0,41.0,12.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 31 – Feb 3,2025-02-03,2198,RV,Morning Consult,55.0,42.0,13.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 24 – 28,2025-01-28,1500,ADULTS,Ipsos / Reuters,53.0,40.0,13.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 24 – 27,2025-01-27,2205,RV,Morning Consult,55.0,41.0,14.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 22 – 27,2025-01-27,1201,ADULTS,SSRS / CNN,52.0,46.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 20 – 21,2025-01-21,2009,RV,Harris Poll / Harvard CAPS,56.0,40.0,16.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
